CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
967479421,12/04/2019,00:23:00,,,44.0,12/04/2019,348,VEHICLE AND TRAFFIC LAWS,916.0,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0.0,,,,1007022.0,243322.0,,,,,40.834516921000045,-73.91770925599997,"(40.834516921000045, -73.91770925599997)",PATROL BORO BRONX,,65+,WHITE HISPANIC,M
392974660,04/17/2016,02:11:00,,,25.0,04/17/2016,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,INSIDE,,N.Y. HOUSING POLICE,,,,,1002883.0,231248.0,18-24,BLACK,M,,40.80138689,-73.93270006,"(40.80138689, -73.93270006)",,,18-24,WHITE HISPANIC,M
440699711,11/30/2019,14:00:00,11/30/2019,15:00:00,34.0,12/03/2019,109,GRAND LARCENY,421.0,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,MANHATTAN,,STREET,N.Y. POLICE DEPT,0.0,,,,1004500.0,250318.0,,,,,40.85372503000008,-73.926801992,"(40.85372503000008, -73.926801992)",PATROL BORO MAN NORTH,,18-24,WHITE HISPANIC,M
270368260,12/02/2019,21:23:00,,,52.0,12/02/2019,118,DANGEROUS WEAPONS,792.0,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,,,1018810.0,259520.0,,,,,40.87893728800003,-73.87502696999996,"(40.87893728800003, -73.87502696999996)",PATROL BORO BRONX,,UNKNOWN,UNKNOWN,E
388866200,12/02/2019,20:50:00,12/02/2019,21:15:00,113.0,12/02/2019,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,,,1046998.0,188633.0,25-44,BLACK,F,,40.68421658400008,-73.77375705999998,"(40.684216584000076, -73.77375705999998)",PATROL BORO QUEENS SOUTH,,25-44,BLACK,M
346491364,03/20/2014,12:40:00,,,47.0,03/20/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,INSIDE,,N.Y. POLICE DEPT,,,,,1026142.0,269205.0,45-64,BLACK,M,,40.905487755,-73.848452745,"(40.905487755, -73.848452745)",,,18-24,BLACK,M
877238798,12/01/2019,07:30:00,12/01/2019,09:00:00,45.0,12/02/2019,104,RAPE,157.0,RAPE 1,COMPLETED,FELONY,BRONX,FRONT OF,CEMETERY,N.Y. POLICE DEPT,0.0,,,,1032047.0,242037.0,45-64,WHITE HISPANIC,M,,40.83088999300003,-73.82728461999993,"(40.83088999300003, -73.82728461999993)",PATROL BORO BRONX,,<18,WHITE HISPANIC,F
941392546,12/01/2019,20:40:00,12/01/2019,20:40:00,109.0,12/01/2019,106,FELONY ASSAULT,105.0,STRANGULATION 1ST,COMPLETED,FELONY,QUEENS,,STREET,N.Y. POLICE DEPT,0.0,,,,1032562.0,215696.0,25-44,BLACK,M,,40.75858841300004,-73.82561313499998,"(40.75858841300004, -73.82561313499998)",PATROL BORO QUEENS NORTH,,25-44,BLACK,F
685495672,12/01/2019,17:30:00,12/01/2019,17:35:00,121.0,12/01/2019,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,,,950254.0,158336.0,,,,,40.60121501800006,-74.122425046,"(40.60121501800006, -74.122425046)",PATROL BORO STATEN ISLAND,,45-64,BLACK,F
441497338,12/01/2019,08:29:00,,,46.0,12/01/2019,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,1011881.0,250411.0,,,,,40.85396027400003,-73.90012087499997,"(40.85396027400003, -73.90012087499997)",PATROL BORO BRONX,,<18,UNKNOWN,F
