CMPLNT_NUM,ADDR_PCT_CD,KY_CD,PD_CD,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,Latitude,Longitude,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,CMPLNT_FR_TIMESTAMP,CMPLNT_TO_TIMESTAMP,RPT_TIMESTAMP
267875404,1.0,341,339.0,COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,,OTHER,OTHER,40.71493582200002,-74.00794102699997,45-64,BLACK,MALE,2019-03-24 12:00:00,,2019-03-24 00:00:00
668200156,47.0,578,638.0,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE-HOUSE,45-64,BLACK,MALE,40.89470911000007,-73.85464434099998,45-64,BLACK,FEMALE,2019-03-24 11:35:00,,2019-03-24 00:00:00
851699353,48.0,341,321.0,COMPLETED,MISDEMEANOR,BRONX,,STREET,UNKNOWN,OTHER,OTHER,40.85101779000007,-73.89379605299997,25-44,BLACK,MALE,2019-03-23 21:00:00,2019-03-24 06:00:00,2019-03-24 00:00:00
223973407,44.0,107,221.0,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE-HOUSE,,OTHER,OTHER,,,25-44,BLACK HISPANIC,FEMALE,2006-04-12 16:00:00,2006-04-12 18:00:00,2006-04-26 00:00:00
615618260,13.0,105,361.0,COMPLETED,FELONY,MANHATTAN,INSIDE,BANK,UNKNOWN,WHITE,MALE,40.73246267800005,-73.98175833899995,UNKNOWN,OTHER,OTHER,2019-03-23 10:03:00,,2019-03-23 00:00:00
745624072,18.0,106,109.0,COMPLETED,FELONY,MANHATTAN,INSIDE,BAR/NIGHT CLUB,25-44,WHITE HISPANIC,MALE,40.76414872600003,-73.98661223299997,45-64,BLACK,MALE,2019-03-23 03:30:00,,2019-03-23 00:00:00
565575056,109.0,341,321.0,COMPLETED,MISDEMEANOR,QUEENS,,STREET,,OTHER,OTHER,40.76961310400003,-73.82863130099996,45-64,WHITE,MALE,2019-03-22 20:30:00,2019-03-23 09:15:00,2019-03-23 00:00:00
852030623,13.0,106,109.0,COMPLETED,FELONY,MANHATTAN,INSIDE,HOTEL/MOTEL,65+,WHITE,MALE,40.73683322200003,-73.988750312,25-44,WHITE,FEMALE,2019-02-23 16:00:00,,2019-03-23 00:00:00
200866852,50.0,578,637.0,COMPLETED,VIOLATION,BRONX,FRONT OF,OTHER,45-64,WHITE HISPANIC,MALE,40.872091797000046,-73.903384008,18-24,BLACK HISPANIC,MALE,2019-03-22 16:26:00,,2019-03-22 00:00:00
463184316,105.0,578,637.0,COMPLETED,VIOLATION,QUEENS,,STREET,UNKNOWN,OTHER,OTHER,40.66564381400008,-73.75815082499997,<18,BLACK,MALE,2019-03-20 17:40:00,2019-03-20 17:45:00,2019-03-20 00:00:00
130277055,61.0,341,349.0,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,,OTHER,OTHER,40.61019565000004,-73.95050463199995,45-64,WHITE,MALE,2019-03-18 00:30:00,2019-03-19 14:30:00,2019-03-20 00:00:00
